,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANALP,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,ERRVF,ERRGAM,ERRBT,ERRBZ,ERRBH,ERRJZ,ERRUSI,ERRALP,ERRMIH,ERRTAI,ERRJHT,ERRMPOT,ERRTPOT,ERRMSHA
2012-03-04 02:00:00,3.741155e+22,50.211,59.724,76.333,42.011,0.04441321,33780880000000.0,-0.02967305,-0.02000691,2352.29,891.488,31376200000000.0,15798.16,9.349187e+23,44.631,45.271,1.307132e+19,0.018,0.144,0.158,0.134,0.04208952,249081500000.0,0.00057933,0.00039061,17.405,970181100000.0,11.86387,7.020919e+20,0.0
2012-03-04 03:00:00,3.741546e+22,50.4,60.188,77.277,42.537,-0.00690561,35231300000000.0,-0.03132363,-0.02042364,2362.921,929.439,33119470000000.0,15477.56,9.354322e+23,44.984,45.286,1.304712e+19,0.018,0.141,0.154,0.13,0.04102262,247932400000.0,0.00056185,0.00036644,16.676,965859200000.0,11.24722,6.79759e+20,0.0
2012-03-04 04:00:00,3.77381e+22,49.769,60.362,76.632,42.072,0.03888307,34953950000000.0,-0.0319927,-0.02073586,2339.726,952.253,35790270000000.0,14847.98,9.055846e+23,44.408,43.667,1.317108e+19,0.019,0.143,0.154,0.132,0.04104295,250322700000.0,0.00056771,0.00036804,16.901,975310500000.0,10.94436,6.675012e+20,0.0
2012-03-04 05:00:00,3.739858e+22,49.362,62.724,80.707,43.172,0.08546213,35830290000000.0,-0.03219608,-0.02113364,2349.137,951.944,35794290000000.0,14834.12,8.874623e+23,44.346,43.185,1.317673e+19,0.018,0.143,0.157,0.132,0.04184128,250318500000.0,0.0005629,0.00036954,16.646,975409100000.0,10.9464,6.548767e+20,0.0
2012-03-04 06:00:00,3.642122e+22,48.312,64.675,81.349,44.148,0.08354148,34409760000000.0,-0.03372353,-0.02289304,2270.571,972.977,39823620000000.0,14774.57,8.33944e+23,43.396,41.363,1.25584e+19,0.017,0.145,0.159,0.132,0.04199568,237042600000.0,0.00055131,0.0003743,15.908,923757400000.0,10.71046,6.04547e+20,0.0
2012-03-04 07:00:00,3.643136e+22,48.847,63.855,79.208,43.974,0.11817288,34934540000000.0,-0.03101029,-0.02044545,2257.814,887.578,35352620000000.0,14403.1,8.304209e+23,43.851,41.604,1.254115e+19,0.017,0.139,0.154,0.127,0.04089558,235786400000.0,0.00055835,0.00036818,15.983,918908000000.0,10.42673,6.011609e+20,0.0
2012-03-04 08:00:00,3.720995e+22,48.36,64.289,79.712,43.82,0.04693991,35906840000000.0,-0.03129872,-0.01975919,2273.733,897.739,36540800000000.0,13530.96,8.164539e+23,43.143,40.434,1.240987e+19,0.016,0.132,0.146,0.121,0.03896308,235102000000.0,0.00055849,0.00035263,16.021,916252200000.0,9.835643,5.934796e+20,0.0
2012-03-04 09:00:00,3.80622e+22,47.51,65.261,80.004,44.415,0.0471366,38936030000000.0,-0.02985812,-0.01858813,2412.683,866.895,33223960000000.0,13120.42,8.126441e+23,42.484,39.041,1.258262e+19,0.016,0.132,0.144,0.121,0.03878564,240227900000.0,0.00055385,0.00034483,16.082,936205700000.0,9.783897,6.059886e+20,0.0
2012-03-04 10:00:00,3.722633e+22,47.306,65.996,81.647,45.232,0.08576959,37294440000000.0,-0.02979893,-0.01880419,2317.448,846.019,35239160000000.0,13153.82,7.859934e+23,42.363,39.045,1.222242e+19,0.016,0.134,0.145,0.123,0.03931212,234905700000.0,0.00054785,0.00034578,15.557,915410100000.0,9.63852,5.759403e+20,0.0
2012-03-04 11:00:00,3.787146e+22,47.629,67.927,83.318,46.6,0.02819227,40286940000000.0,-0.03076409,-0.01902882,2479.556,883.565,37159560000000.0,12466.08,7.687384e+23,42.412,38.468,1.186482e+19,0.015,0.129,0.137,0.119,0.03737728,230492200000.0,0.00053968,0.00033387,15.503,898131900000.0,9.019579,5.56205e+20,0.0
2012-03-04 12:00:00,3.794835e+22,48.179,69.707,85.747,47.37,-0.03003558,41684100000000.0,-0.03126692,-0.01900874,2498.773,897.916,36838810000000.0,12637.42,7.927979e+23,42.891,39.748,1.195868e+19,0.016,0.128,0.136,0.119,0.03727332,233831000000.0,0.0005372,0.00032666,15.43,911041600000.0,9.087406,5.700908e+20,0.0
2012-03-04 13:00:00,3.877376e+22,48.048,71.161,86.771,47.876,0.00440102,43621190000000.0,-0.03238855,-0.01958653,2625.878,948.262,38951560000000.0,12623.22,8.116387e+23,42.653,39.017,1.215755e+19,0.016,0.128,0.135,0.119,0.03723045,239381600000.0,0.00053662,0.00032461,15.716,932553400000.0,9.190637,5.909327e+20,0.0
2012-03-04 14:00:00,3.903282e+22,47.148,72.879,87.062,48.706,0.02359633,42982850000000.0,-0.03305173,-0.02051198,2638.053,977.15,40608410000000.0,12797.16,8.096682e+23,41.886,38.068,1.189419e+19,0.015,0.127,0.134,0.118,0.03725607,235716700000.0,0.000527,0.00032713,15.584,918161300000.0,9.292569,5.879348e+20,0.0
2012-03-04 15:00:00,3.974281e+22,47.47,74.322,89.124,50.164,0.03611524,46627690000000.0,-0.0335768,-0.02060162,2790.231,1009.623,41717010000000.0,12652.37,8.234936e+23,42.358,38.342,1.19864e+19,0.015,0.126,0.131,0.118,0.03686645,239949300000.0,0.00053746,0.00032987,16.166,934537900000.0,9.127567,5.940778e+20,0.0
2012-03-04 16:00:00,4.076223e+22,47.698,75.216,89.017,50.037,-0.01846426,48179770000000.0,-0.03276382,-0.01967225,2791.262,1008.183,42612520000000.0,12525.46,8.524944e+23,42.417,38.397,1.219347e+19,0.015,0.123,0.127,0.116,0.03623201,246598400000.0,0.00054638,0.00032815,16.817,960337000000.0,9.190032,6.254821e+20,0.0
2012-03-04 17:00:00,4.293651e+22,47.563,75.434,88.737,50.015,-0.02031144,50870840000000.0,-0.03119971,-0.01812973,2958.236,1001.414,42325120000000.0,11804.13,8.659493e+23,42.221,37.399,1.231365e+19,0.015,0.117,0.119,0.109,0.03404018,249718200000.0,0.00054288,0.00031553,17.429,972412000000.0,8.524765,6.253754e+20,0.0
